Uuid,privilege name,description
fa98df9b-e026-4b4d-b202-65109a52dfc0,Task: reportbuilder.report.view,"View report definitions (Report Builder)"
e9c936d6-818f-43dc-bd68-9fe387810ff6,Task: reportbuilder.report.add,"Create report definitions (Report Builder)"
26db7f49-6c2b-4ea4-8728-7353085820ec,Task: reportbuilder.report.edit,"Edit report definitions (Report Builder)"
d6614796-2bd7-48d2-9f91-22cce1bd0e67,Task: reportbuilder.report.purge,"Delete report definitions (Report Builder)"
cc9b2701-aaf7-4f4e-b81f-362b10649cc0,Task: reportbuilder.indicator.view,"View SQL indicators (Report Builder)"
dc8b260c-55f4-49ee-81d6-0715c9d98671,Task: reportbuilder.indicator.add,"Create SQL indicators (Report Builder)"
04f2b814-1398-40ca-a1fd-6222dee23cb3,Task: reportbuilder.indicator.edit,"Edit SQL indicators (Report Builder)"
8baa2cc9-bf44-4d33-8a16-dc1f28ef2fc0,Task: reportbuilder.indicator.purge,"Delete SQL indicators (Report Builder)"
2b2a7c42-50d7-4b63-a3b6-8b35caf08c2b,Task: reportbuilder.section.view,"View report sections (Report Builder)"
a3f82148-d483-4e4c-8060-0c67a968b290,Task: reportbuilder.section.add,"Create report sections (Report Builder)"
25056138-c22c-4891-b920-09f6d7dbea49,Task: reportbuilder.section.edit,"Edit report sections (Report Builder)"
7c8b1455-0b5b-45df-95ca-15d81c756e10,Task: reportbuilder.section.purge,"Delete report sections (Report Builder)"
6432a503-485a-4d35-8236-94ad76897ffb,Task: reportbuilder.theme.view,"View data themes (Report Builder)"
57408224-6345-4665-ba9c-da778d682906,Task: reportbuilder.theme.add,"Create data themes (Report Builder)"
9da60764-4274-4264-90c5-0bf654be9827,Task: reportbuilder.theme.edit,"Edit data themes (Report Builder)"
cc1582f6-f5f7-40b0-bb0a-ca8b68862662,Task: reportbuilder.theme.purge,"Delete data themes (Report Builder)"
966a7565-ff69-4d28-a76f-9eafaf6a6bb5,Task: reportbuilder.dashboard.view,"View dashboards (Report Builder)"
b35748d2-e123-4764-84c2-7375b39e4c54,Task: reportbuilder.dashboard.add,"Create dashboards (Report Builder)"
424004cd-dd27-4f62-9a0f-fb0197fd7e9f,Task: reportbuilder.dashboard.edit,"Edit dashboards (Report Builder)"
557ce6b7-51c4-4b95-82fd-93f9dc671905,Task: reportbuilder.dashboard.purge,"Delete dashboards (Report Builder)"
dd308f3b-835a-4f28-a998-f13b5d0c47c9,Task: reportbuilder.category.view,"View report categories (Report Builder)"
72856373-9199-4fa5-a674-5cba40c487fc,Task: reportbuilder.category.add,"Create report categories (Report Builder)"
b7d2f6a4-ae14-4ae1-bb7f-8002fae1fdc9,Task: reportbuilder.category.edit,"Edit report categories (Report Builder)"
1652268e-6bf3-4665-80e7-6f134ced1306,Task: reportbuilder.category.purge,"Delete report categories (Report Builder)"
07c1e5e1-57bd-4297-9056-461c5e5b0156,Task: reportbuilder.agegroup.view,"View age categories and age groups (Report Builder)"
cb92aec7-1c59-4bde-bc39-307aa9720a05,Task: reportbuilder.agegroup.add,"Create age categories and age groups (Report Builder)"
3cda91ca-9c9e-4ade-93cd-730233496796,Task: reportbuilder.agegroup.edit,"Edit age categories and age groups (Report Builder)"
f2e71dbf-22df-4415-b0c2-475407ce92b0,Task: reportbuilder.agegroup.purge,"Delete age categories and age groups (Report Builder)"
510c71e2-9b55-4a7d-8079-68bc63c6142f,Task: reportbuilder.library.view,"View report library entries (Report Builder)"
9244d1d8-668a-4424-add7-23bdeda49de8,Task: reportbuilder.library.add,"Create report library entries (Report Builder)"
472367ce-e8cb-4e38-8cc4-813b9f7bbde1,Task: reportbuilder.library.edit,"Edit report library entries (Report Builder)"
1d9e4b4d-c5dd-49c2-85ca-062328405048,Task: reportbuilder.library.purge,"Delete report library entries (Report Builder)"
f32ce0b5-c727-443c-b8e6-4104ea549bf9,Task: reportbuilder.etlsource.view,"View ETL source connections (Report Builder)"
bd95f2de-561e-4767-89b4-96e3323cc4fa,Task: reportbuilder.etlsource.add,"Create ETL source connections (Report Builder)"
f860bcda-f22e-45b6-871b-959c158d536c,Task: reportbuilder.etlsource.edit,"Edit ETL source connections (Report Builder)"
1652dd25-8dd0-41e3-89d8-03f3b9188097,Task: reportbuilder.etlsource.purge,"Delete ETL source connections (Report Builder)"
d03084dd-36cb-43ce-80be-6c70ada090aa,Task: reportbuilder.etlmonitor.view,"View ETL health monitors (Report Builder)"
41af49ce-98c7-4f8d-8742-dff02cd7d9a2,Task: reportbuilder.etlmonitor.add,"Create ETL health monitors (Report Builder)"
c5b89492-f936-4994-a761-84270c9960b2,Task: reportbuilder.etlmonitor.edit,"Edit ETL health monitors (Report Builder)"
64865739-f133-47cc-865f-689cf1ddf0eb,Task: reportbuilder.etlmonitor.purge,"Delete ETL health monitors (Report Builder)"
4b493220-b7fd-4747-b7a5-da2e9c73f9e6,Task: reportbuilder.report.compile,"Compile report definitions (Report Builder)"
a9e4a32d-22d3-4b6a-8cec-22216882d1f8,Task: reportbuilder.report.run,"Run reports and download outputs (Report Builder)"
5ca04917-bd36-4811-bbf6-d1f514a34c8c,Task: reportbuilder.schema.view,"Browse the database schema (Report Builder)"
be072fc5-3ff7-4b41-a884-a6d9759b8098,Task: reportbuilder.sql.execute,"Execute SQL previews (Report Builder)"
b05eb464-cdde-40dd-aa9b-2230bc5c25de,Task: reportbuilder.package.import,"Import distribution packages (Report Builder)"
b6f089d9-20aa-42f0-a417-818446e67876,Task: reportbuilder.package.export,"Export distribution packages (Report Builder)"
